GameID,Team1,TopDistance1,Distance1,GameID,Team2,TopDistance2,Distance2
1,Russia,Golovin,12706,1,Saudi Arabia,Alfaraj,11323
2,Egypt,Trezeguet,11687,2,Uruguay,Vecino,10875
3,Morocco,Boussoufa,10068,3,Iran,Amiri,10474
4,Portugal,William,10516,4,Spain ,Koke,11757
5,France,Kante,10461,5,Australia,Mooy,11310
6,Argentina,Tagliaficio,10399,6,Iceland,G Sigurdsson,11048
7,Peru,Yotun,11318,7,Denmark,Eriksen,12262
8,Croatia,Perisic,10368,8,Nigeria,Ndidi,10701
9,Brazil,Coutinho,10838,9,Switzerland,Dzemaili,11222
10,Costa Rica,Ruiz,11179,10,Serbia,Milivojevic,11731
11,Germany,Kroos,11778,11,Mexico,Herrera,11592
12,Sweden,Claesson,10565,12,Korea,Lee J,10789
13,Belgium,Meunier,11605,13,Panama,Godoy,10295
14,Tunisia,Skhiri,11546,14,England,Lingard,11379
15,Poland,Zielinski,11028,15,Senegal,Gueye,10616
16,Colombia,Lerma,10916,16,Japan,Nagatomo,10745
17,Russia,Samedov,12470,17,Egypt,Said,12088
18,Uruguay,Bentancur,10515,18,Saudi Arabia,Alfaraj,10472
19,Portugal,William,10431,19,Morocco,Boussoufa,11780
20,Iran,Taremi,10850,20,Spain ,Silva,10755
21,France,Kante,10522,21,Peru,Flores,11019
22,Denmark,Eriksen,12700,22,Australia,Mooy,11973
23,Argentina,Tagliaficio,10063,23,Croatia,Brozovic,11211
24,Nigeria,Ndidi,10486,24,Iceland,G Sigurdsson,10503
25,Brazil,Coutinho,11331,25,Costa Rica,Ruiz,11694
26,Serbia,Milinkovic-Savic,12373,26,Switzerland,Zuber,11619
27,Germany,Kimmich,11584,27,Sweden,Larsson,11503
28,Korea,Lee J,10552,28,Mexico,Herrera,10362
29,Belgium,Meinier,11316,29,Tunisia,Skhiri,11200
30,England,Henderson,10061,30,Panama,Cooper,9256
31,Poland,Zielinski,10897,31,Colombia,Rodriguez,10571
32,Japan,Nagamoto,11088,32,Senegal,Sarr,10143
33,Uruguay,Vecino,10999,33,Russia,Zobnin,10444
34,Saudi Arabia,Hamed,11260,34,Egypt,Alsharani,10908
35,Iran,Amiri,9679,35,Portugal,Silva,9468
36,Spain,Alba,10719,36,Morocco,Boussoufa,11372
37,Denmark,Eriksen,11460,37,France,Lemar,10701
38,Australia,Leckie,10417,38,Peru,Flores,10976
39,Nigeria,Ndidi,10250,39,Argentina,Banega,10428
40,Iceland,G. Sigurdsson,10385,40,Croatia,Pivaric,10821
41,Serbia,Matic,11901,41,Brazil,Jesus,10261
42,Switzerland,Xhaka,10603,42,Costa Rica,Ruiz,10797
43,Korea,Lee J,12141,43,Germany,Kimmich,12185
44,Mexico,Herrera,10205,44,Sweden,Claesson,10161
45,England,Dier,11586,45,Belgium,Fellani,11130
46,Panama,Barcenas,10828,46,Tunisia,Skhiri,11324
47,Japan,Shibasaki,10818,47,Poland,Krychowiak,10052
48,Senegal,Kouyate,10433,48,Colombia,Quintero,9959
49,France,Kante,9725,49,Argentina,Banega,9979
50,Uruguay,Vecino,11310,50,Portugal,Silva,11324
51,Spain,Koke,14708,51,Russia,Golovin,15957
52,Denmark,Eriksen,15409,52,Croatia,Rakitic,13081
53,Brazil,Casemiro,10400,53,Mexico,Herrera,10499
54,Belgium,Meunier,11742,54,Japan,Kagawa,12047
55,Sweden,Ekdal,10995,55,Switzerland,Lang,10796
56,Colombia,Falcao,13870,56,England,Lingard,15399
57,Uruguay,Vecino,11215,57,France,Kante,10470
58,Brazil,Coutinho,10722,58,Belgium,De Bruyne,11816
59,Sweden,Ekdal,11222,59,England,Lingard,12010
60,Russia,Kuziaev,15770,60,Croatia,Rakitic,13300
61,France,Kante,11124,61,Belgium,Witsel,10752
62,Croatia,Brozovic,16339,62,England,Lingard,15786
63,Belgium,Meunier,11619,63,England,Dier,11426
64,France,Griezmann,10760,64,Croatia,Brozovic,11645